time	V(n003)	V(n005)	I(I1)
4.932860436235696e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436237079e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436239845e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436245377e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436256439e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436278565e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436322816e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436411318e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436433444e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436477695e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436566197e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436743202e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860437097211e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860437185713e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860437362718e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860437716728e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860438424746e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860439840783e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860440194792e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860440902811e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860442318848e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860442672857e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860443380876e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860444796913e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860447628987e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860453293136e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860464621433e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860487278028e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860532591216e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860623217594e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860645874189e-002	1.515334e+000	4.996509e+000	2.499722e-004
